COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID
2336,4072.295,4850.245,4199.8669,25.146513,32,42,A019
2337,4073.5668,4848.7522,4196.7885,40,31,42,A019
2338,4074.6121,4847.5252,4194.2584,35.799999,31,42,A019
2339,4075.6575,4846.2982,4191.7282,44.693333,31,42,A019
2340,4076.7028,4845.0713,4189.198,45.193333,31,42,A019
2341,4077.5217,4844.1101,4187.2161,27.905882,31,42,A019
2843,4008.81,4924.67,4199.97,16.584999,32,42,A023
2844,4008.81,4924.67,4196.97,36.253334,32,42,A023
2845,4008.81,4924.67,4193.37,33.597618,31,42,A023
2846,4008.81,4924.67,4189.77,16.056667,31,42,A023
2847,4008.81,4924.67,4186.77,15.253333,31,42,A023
2848,4008.81,4924.67,4183.77,8.37,31,42,A023
2849,4008.81,4924.67,4180.77,12.21,31,42,A023
2850,4008.81,4924.67,4178.02,9.904,31,42,A023
2851,4008.81,4924.67,4175.22,9.235484,31,42,A023
2852,4008.81,4924.67,4172.47,15.412499,31,42,A023
2853,4008.81,4924.67,4169.77,43.289997,31,42,A023
2854,4008.81,4924.67,4166.77,9.45,31,42,A023
2855,4008.81,4924.67,4163.77,8.1,31,42,A023
2856,4008.81,4924.67,4160.77,7.84,31,42,A023
2857,4008.81,4924.67,4157.77,8.05,31,42,A023
2858,4008.81,4924.67,4154.37,7.668421,31,42,A023
2859,4008.81,4924.67,4150.97,18.273333,31,42,A023
2865,4008.81,4924.67,4133.27,13.013333,31,42,A023
2866,4008.81,4924.67,4130.27,11.133333,31,42,A023
2867,4008.81,4924.67,4127.82,10.673684,31,42,A023
3751,4162.1705,4902.6558,4068.8324,5.3,32,42,A031
4274,4075.59,5005.1,4142.43,6.883333,31,42,A036
4275,4075.59,5005.1,4139.43,5.793334,31,42,A036
4276,4075.59,5005.1,4136.43,3.973333,31,42,A036
4277,4075.59,5005.1,4133.43,5.3,31,42,A036
4278,4075.59,5005.1,4130.43,11.05,31,42,A036
4279,4075.59,5005.1,4127.43,7.1,31,42,A036
