;COUNT;VALUE;CAPVAL1;CAPPED1;CAPVAL1_PY;CAPPED1_PY;VAR;CAPVAL2;CAPPED2;CAPVAL2_PY;CAPPED2_PY;VAR;CAPVAL3;CAPPED3;CAPVAL3_PY;CAPPED3_PY;VAR;CAPVAL4;CAPPED4;CAPVAL4_PY;CAPPED4_PY;CAPVAL5;CAPPED5;CAPVAL5_PY;CAPPED5_PY;CAPVAL6;CAPPED6;CAPVAL6_PY;CAPPED6_PY;AvgSin;AvgSin_PY;PROP_12;PROP_12_PY;Num_Data;Num_Data_PY
0;8060;89.2;89.2;0;86.15186103;1;-3%;89.2;0;89.199997;0;0%;89.2;0;89.199997;0;0%;89.2;0;89.199997;0;89.2;0;89.199997;0;89.2;0;89.199997;0;53.9795;30.48135967;0.182;0.139351359;21;21
1;8061;102.7;97.08445;1;99.83126763;1;3%;102.7;0;99.11408529;1;-3%;102.7;0;102.699997;0;0%;102.7;0;102.699997;0;102.7;0;102.699997;0;102.7;0;102.699997;0;30.3389;28.68729367;0.138;0.170475337;21;21
2;8077;99.15;99.15;0;96.3907639;1;-3%;99.15;0;95.70095438;1;-3%;99.15;0;99.150002;0;0%;99.15;0;99.150002;0;99.15;0;99.150002;0;99.15;0;99.150002;0;33.0471;27.59238095;0.875;0.171113492;21;21
3;8078;95.08333;95.08333;0;92.49086771;1;-3%;95.08333;0;91.84275264;1;-3%;95.08333;0;91.19463757;1;-4%;95.08333;0;95.083328;0;95.08333;0;95.083328;0;95.08333;0;95.083328;0;33.0471;25.92460286;0.778;0.17465176;21;21
4;32475;329.75;81.48872;1;327.2402572;1;302%;95.49459;1;326.6128215;1;242%;109.5005;1;325.9853858;1;66%;123.5063;1;325.3579501;1;137.5122;1;324.7305144;1;151.5181;1;324.1030787;1;25.4652;25.0974279;0.346;0.62565698;21;21
5;35998;58;58;0;56.00836323;1;-3%;58;0;58;0;0%;58;0;58;0;0%;58;0;58;0;58;0;58;0;58;0;58;0;50.923;19.91636767;0.778;0.138675124;21;21
6;36016;93.53667;93.53667;0;90.40298525;1;-3%;93.53667;0;93.536667;0;0%;93.53667;0;93.536667;0;0%;93.53667;0;93.536667;0;93.53667;0;93.536667;0;93.53667;0;93.536667;0;38.7475;31.33681748;0.724;0.142137184;21;21
7;36024;146;94.53376;1;143.9582865;1;52%;110.7818;1;143.4478582;1;29%;127.0297;1;142.9374298;1;11%;143.2777;1;142.4270015;1;146;0;141.9165731;1;146;0;141.4061447;1;29.5418;20.41713452;0.724;0.340516978;21;21
8;36025;90.81667;90.81667;0;89.05374187;1;-2%;90.81667;0;88.61301083;1;-2%;90.81667;0;88.1722798;1;-3%;90.81667;0;87.73154877;1;90.81667;0;87.29081773;1;90.81667;0;86.8500867;1;29.5418;17.62924133;0.75;0.245308522;21;21
9;36026;254;95.1128;1;251.5168536;1;164%;111.4603;1;250.8960671;1;125%;127.8078;1;250.2752805;1;49%;144.1553;1;249.6544939;1;160.5029;1;249.0337073;1;176.8504;1;248.4129207;1;29.7227;24.83146352;0.778;0.487093243;21;21
10;36027;154.2;98.43471;1;152.1538983;1;55%;115.3532;1;151.6423736;1;31%;132.2717;1;151.1308489;1;12%;149.1901;1;150.6193242;1;154.2;0;150.1077996;1;154.2;0;149.5962749;1;30.7608;20.46098719;0.84;0.358871101;21;21
11;36028;74;74;0;72.41377428;1;-2%;74;0;72.01721785;1;-3%;74;0;71.62066142;1;-3%;74;0;71.22410499;1;74;0;70.82754856;1;74;0;74;0;30.4107;15.86225719;0.875;0.222150573;21;21
12;36030;70.55;70.55;0;68.801688;1;-2%;70.55;0;68.36460924;1;-3%;70.55;0;67.92753049;1;-4%;70.55;0;67.49045174;1;70.55;0;70.550003;0;70.55;0;70.550003;0;29.0567;17.48315005;0.955;0.192157817;21;21
13;36031;70;70;0;68.30712946;1;-2%;70;0;67.88391183;1;-3%;70;0;67.46069419;1;-4%;70;0;67.03747656;1;70;0;70;0;70;0;70;0;27.9377;16.92870538;0.955;0.196904208;21;21
14;74799;64;61.89182;1;61.78200981;1;0%;64;0;64;0;0%;64;0;64;0;0%;64;0;64;0;64;0;64;0;64;0;64;0;19.3412;22.1799019;0.808;0.137404532;21;21
15;80153;56;30.27335;1;54.94857475;1;82%;35.47659;1;54.68571843;1;54%;40.67982;1;54.42286212;1;25%;45.88305;1;54.16000581;1;51.08628;1;53.8971495;1;56;0;53.63429318;1;9.4604;10.51425252;0.531;0.253623989;21;21
16;88320;24.95;24.95;0;24.0859665;1;-3%;24.95;0;24.950001;0;0%;24.95;0;24.950001;0;0%;24.95;0;24.950001;0;24.95;0;24.950001;0;24.95;0;24.950001;0;8.3759;8.640344952;0.636;0.137505539;21;21
17;107369;43;43;0;41.81246032;1;-3%;43;0;41.5155754;1;-3%;43;0;41.21869049;1;-4%;43;0;43;0;43;0;43;0;43;0;43;0;20.9704;11.87539676;0.913;0.172425317;21;21
18;107370;30.51667;30.51667;0;29.51333268;1;-3%;30.51667;0;30.516666;0;0%;30.51667;0;30.516666;0;0%;30.51667;0;30.516666;0;30.51667;0;30.516666;0;30.51667;0;30.516666;0;22.1278;10.03333324;0.808;0.144834676;21;21
19;107374;33.15;33.15;0;32.24277977;1;-3%;33.15;0;32.01597421;1;-3%;33.15;0;31.78916866;1;-4%;33.15;0;33.150002;0;33.15;0;33.150002;0;33.15;0;33.150002;0;29.3913;9.072222286;0.677;0.174000534;21;21
20;107375;32.95;32.95;0;31.90145225;1;-3%;32.95;0;32.950001;0;0%;32.95;0;32.950001;0;0%;32.95;0;32.950001;0;32.95;0;32.950001;0;32.95;0;32.950001;0;29.2675;10.48548748;0.724;0.149639935;21;21
21;107376;39.53333;39.53333;0;38.52043394;1;-3%;39.53333;0;38.26720917;1;-3%;39.53333;0;38.01398441;1;-4%;39.53333;0;39.533333;0;39.53333;0;39.533333;0;39.53333;0;39.533333;0;29.8103;10.12899062;0.778;0.185856591;21;21
22;119356;38;34.92258;1;36.73466667;1;5%;38;0;38;0;0%;38;0;38;0;0%;38;0;38;0;38;0;38;0;38;0;38;0;10.9133;12.65333333;0.913;0.143007677;21;21
