,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
0,2336,4072.295,4850.245,4199.8669,25.146513,32,42,A019,25.146513,0,25.146513,0,25.146513,0,25.146513,0,25.146513,0,25.146513,0,0.0,0.0,0,0,0
1,2337,4073.5668,4848.7522,4196.7885,40.0,31,42,A019,40.0,0,40.0,0,40.0,0,40.0,0,40.0,0,40.0,0,0.0,0.0,0,0,0
2,2338,4074.6121,4847.5252,4194.2584,35.799999,31,42,A019,35.799999,0,35.799999,0,35.799999,0,35.799999,0,35.799999,0,35.799999,0,0.0,0.0,0,0,0
3,2339,4075.6575,4846.2982,4191.7282,44.693333,31,42,A019,44.693333,0,44.693333,0,44.693333,0,44.693333,0,44.693333,0,44.693333,0,0.0,0.0,0,0,0
4,2340,4076.7028,4845.0713,4189.198,45.193333,31,42,A019,45.193333,0,45.193333,0,45.193333,0,45.193333,0,45.193333,0,45.193333,0,0.0,0.0,0,0,0
5,2341,4077.5217,4844.1101,4187.2161,27.905882,31,42,A019,27.905882,0,27.905882,0,27.905882,0,27.905882,0,27.905882,0,27.905882,0,0.0,0.0,0,0,0
6,2843,4008.81,4924.67,4199.97,16.584999,32,42,A023,16.584999,0,16.584999,0,16.584999,0,16.584999,0,16.584999,0,16.584999,0,0.0,0.0,0,0,0
7,2844,4008.81,4924.67,4196.97,36.253334,32,42,A023,36.253334,0,36.253334,0,36.253334,0,36.253334,0,36.253334,0,36.253334,0,0.0,0.0,0,0,0
8,2845,4008.81,4924.67,4193.37,33.597618,31,42,A023,33.597618,0,33.597618,0,33.597618,0,33.597618,0,33.597618,0,33.597618,0,0.0,0.0,0,0,0
9,2846,4008.81,4924.67,4189.77,16.056667,31,42,A023,16.056667,0,16.056667,0,16.056667,0,16.056667,0,16.056667,0,16.056667,0,0.0,0.0,0,0,0
