ID,BHID,X,Y,Z,CODE,ZONE,VALUE,CAPVAL1,CAPPED1,CAPVAL2,CAPPED2,CAPVAL3,CAPPED3,CAPVAL4,CAPPED4,CAPVAL5,CAPPED5,CAPVAL6,CAPPED6,AvgSin,PROP_12,Num_Data
   2336,A019        ,   4072.29,   4850.25,   4199.87,      32, 42.0,   25.14651,   25.14651,    0,   25.14651,    0,   25.14651,    0,   25.14651,    0,   25.14651,    0,   25.14651,    0,   30.6503,    .231,   21
   2337,A019        ,   4073.57,   4848.75,   4196.79,      31, 42.0,   40.00000,   40.00000,    0,   40.00000,    0,   40.00000,    0,   40.00000,    0,   40.00000,    0,   40.00000,    0,   25.7654,    .213,   21
   2338,A019        ,   4074.61,   4847.53,   4194.26,      31, 42.0,   35.80000,   35.80000,    0,   35.80000,    0,   35.80000,    0,   35.80000,    0,   35.80000,    0,   35.80000,    0,   26.4273,    .196,   21
   2339,A019        ,   4075.66,   4846.30,   4191.73,      31, 42.0,   44.69333,   44.69333,    0,   44.69333,    0,   44.69333,    0,   44.69333,    0,   44.69333,    0,   44.69333,    0,   25.8114,    .179,   21
   2340,A019        ,   4076.70,   4845.07,   4189.20,      31, 42.0,   45.19333,   45.19333,    0,   45.19333,    0,   45.19333,    0,   45.19333,    0,   45.19333,    0,   45.19333,    0,   25.5051,    .176,   21
   2341,A019        ,   4077.52,   4844.11,   4187.22,      31, 42.0,   27.90588,   27.90588,    0,   27.90588,    0,   27.90588,    0,   27.90588,    0,   27.90588,    0,   27.90588,    0,   24.6003,    .200,   21
   2843,A023        ,   4008.81,   4924.67,   4199.97,      32, 42.0,   16.58500,   16.58500,    0,   16.58500,    0,   16.58500,    0,   16.58500,    0,   16.58500,    0,   16.58500,    0,   38.7987,    .808,   21
   2844,A023        ,   4008.81,   4924.67,   4196.97,      32, 42.0,   36.25333,   36.25333,    0,   36.25333,    0,   36.25333,    0,   36.25333,    0,   36.25333,    0,   36.25333,    0,   38.7987,    .778,   21
   2845,A023        ,   4008.81,   4924.67,   4193.37,      31, 42.0,   33.59762,   33.59762,    0,   33.59762,    0,   33.59762,    0,   33.59762,    0,   33.59762,    0,   33.59762,    0,   12.8891,   1.000,   21
   2846,A023        ,   4008.81,   4924.67,   4189.77,      31, 42.0,   16.05667,   16.05667,    0,   16.05667,    0,   16.05667,    0,   16.05667,    0,   16.05667,    0,   16.05667,    0,   11.1311,    .840,   21
   2847,A023        ,   4008.81,   4924.67,   4186.77,      31, 42.0,   15.25333,   15.25333,    0,   15.25333,    0,   15.25333,    0,   15.25333,    0,   15.25333,    0,   15.25333,    0,   11.1311,    .778,   21
   2848,A023        ,   4008.81,   4924.67,   4183.77,      31, 42.0,    8.37000,    8.37000,    0,    8.37000,    0,    8.37000,    0,    8.37000,    0,    8.37000,    0,    8.37000,    0,   11.0622,    .700,   21
   2849,A023        ,   4008.81,   4924.67,   4180.77,      31, 42.0,   12.21000,   12.21000,    0,   12.21000,    0,   12.21000,    0,   12.21000,    0,   12.21000,    0,   12.21000,    0,   11.0622,    .618,   21
