mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,x_rot,y_rot,z_rot,CAP1_P,CPD1_P,CAP2_P,CPD2_P,CAP3_P,CPD3_P,CAP4_P,CPD4_P,CAP5_P,CPD5_P,CAP6_P,CPD6_P,AVG_SN_P,AVG_CN_P,PROP_SN_P,PROP_CN_P,EVAL_P,NCOMP_P,NXPAN_P
4072.0,4850.0,4200.0,25.0,32,42,A019,0.0,0.0,0,25.0,0,25.0,0,25.0,0,25.0,0,25.0,0,25.0,0,0,0,0,0,0,0,0
4074.0,4849.0,4197.0,40.0,31,42,A019,0.0,0.0,0,40.0,0,40.0,0,40.0,0,40.0,0,40.0,0,40.0,0,0,0,0,0,0,0,0
4075.0,4848.0,4194.0,36.0,31,42,A019,0.0,0.0,0,36.0,0,36.0,0,36.0,0,36.0,0,36.0,0,36.0,0,0,0,0,0,0,0,0
4076.0,4846.0,4192.0,45.0,31,42,A019,0.0,0.0,0,45.0,0,45.0,0,45.0,0,45.0,0,45.0,0,45.0,0,0,0,0,0,0,0,0
4077.0,4845.0,4189.0,45.0,31,42,A019,0.0,0.0,0,45.0,0,45.0,0,45.0,0,45.0,0,45.0,0,45.0,0,0,0,0,0,0,0,0
4078.0,4844.0,4187.0,28.0,31,42,A019,0.0,0.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4200.0,17.0,32,42,A023,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4197.0,36.0,32,42,A023,0.0,0.0,0,36.0,0,36.0,0,36.0,0,36.0,0,36.0,0,36.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4193.0,34.0,31,42,A023,0.0,0.0,0,34.0,0,34.0,0,34.0,0,34.0,0,34.0,0,34.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4190.0,16.0,31,42,A023,0.0,0.0,0,16.0,0,16.0,0,16.0,0,16.0,0,16.0,0,16.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4187.0,15.0,31,42,A023,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4184.0,8.0,31,42,A023,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4181.0,12.0,31,42,A023,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4178.0,10.0,31,42,A023,0.0,0.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4175.0,9.0,31,42,A023,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4172.0,15.0,31,42,A023,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4170.0,43.0,31,42,A023,0.0,0.0,0,43.0,0,43.0,0,43.0,0,43.0,0,43.0,0,43.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4167.0,9.0,31,42,A023,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4164.0,8.0,31,42,A023,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4161.0,8.0,31,42,A023,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4158.0,8.0,31,42,A023,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4154.0,8.0,31,42,A023,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4151.0,18.0,31,42,A023,0.0,0.0,0,18.0,0,18.0,0,18.0,0,18.0,0,18.0,0,18.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4133.0,13.0,31,42,A023,0.0,0.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,13.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4130.0,11.0,31,42,A023,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
4009.0,4925.0,4128.0,11.0,31,42,A023,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
4162.0,4903.0,4069.0,5.0,32,42,A031,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4142.0,7.0,31,42,A036,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4139.0,6.0,31,42,A036,0.0,0.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4136.0,4.0,31,42,A036,0.0,0.0,0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4133.0,5.0,31,42,A036,0.0,0.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4130.0,11.0,31,42,A036,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4127.0,7.0,31,42,A036,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4124.0,7.0,31,42,A036,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4121.0,9.0,31,42,A036,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4118.0,6.0,31,42,A036,0.0,0.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,0,0,0,0,0,0,0
4076.0,5005.0,4116.0,6.0,31,42,A036,0.0,0.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,0,0,0,0,0,0,0
